effect_id,effect_name,defindex,item_name,listings_old,average_price_old,median_price_old,listings_new,average_price_new,median_price_new,_merge,price_change,percent_change,listing_change,status
6,Green Confetti,47,Demoman's Fro,1.0,28.06506989291261,28.06506989291261,1,27.98956465025273,27.98956465025273,both,-0.07550524265987946,-0.26903636067176556,0.0,Price Decreased
6,Green Confetti,48,Mining Light,1.0,135.64783781574428,135.64783781574428,1,135.28289580955487,135.28289580955487,both,-0.3649420061894091,-0.26903636067175946,0.0,Price Decreased
6,Green Confetti,49,Football Helmet,1.0,14.032534946456304,14.032534946456304,1,13.994782325126366,13.994782325126366,both,-0.03775262132993795,-0.26903636067175296,0.0,Price Decreased
6,Green Confetti,50,Prussian Pickelhaube,1.0,23.38755824409385,23.38755824409385,1,23.324637208543944,23.324637208543944,both,-0.06292103554990547,-0.2690363606717908,0.0,Price Decreased
6,Green Confetti,51,Pyro's Beanie,1.0,16.83904193574757,16.83904193574757,1,16.79373879015164,16.79373879015164,both,-0.045303145595930516,-0.2690363606717824,0.0,Price Decreased
6,Green Confetti,52,Batter's Helmet,1.0,17.774544265511324,17.774544265511324,1,17.726724278493396,17.726724278493396,both,-0.047819987017927446,-0.2690363606717868,0.0,Price Decreased
6,Green Confetti,53,Trophy Belt,1.0,30.871576882203875,30.871576882203875,1,30.788521115278005,30.788521115278005,both,-0.08305576692587024,-0.2690363606717747,0.0,Price Decreased
6,Green Confetti,54,Soldier's Stash,1.0,268.48916864219734,268.48916864219734,1,267.76683515408445,267.76683515408445,both,-0.7223334881128949,-0.26903636067178344,0.0,Price Decreased
6,Green Confetti,55,Fancy Fedora,1.0,23.38755824409385,23.38755824409385,1,23.324637208543944,23.324637208543944,both,-0.06292103554990547,-0.2690363606717908,0.0,Price Decreased
6,Green Confetti,94,Texas Ten Gallon,1.0,38.35559552031391,38.35559552031391,1,38.25240502201207,38.25240502201207,both,-0.10319049830184213,-0.2690363606717834,0.0,Price Decreased
6,Green Confetti,95,Engineer's Cap,1.0,9.35502329763754,9.35502329763754,1,9.329854883417578,9.329854883417578,both,-0.025168414219962187,-0.26903636067179076,0.0,Price Decreased
6,Green Confetti,96,Officer's Ushanka,1.0,14.96803727622006,14.96803727622006,1,14.927767813468124,14.927767813468124,both,-0.04026946275193666,-0.26903636067177183,0.0,Price Decreased
6,Green Confetti,97,Tough Guy's Toque,1.0,15.435788441101938,15.435788441101938,1,15.394260557639004,15.394260557639004,both,-0.041527883462933346,-0.26903636067176323,0.0,Price Decreased
6,Green Confetti,98,Stainless Pot,1.0,17.774544265511324,17.774544265511324,1,17.726724278493396,17.726724278493396,both,-0.047819987017927446,-0.2690363606717868,0.0,Price Decreased
6,Green Confetti,99,Tyrant's Helm,1.0,18.71004659527508,18.71004659527508,1,18.65970976683516,18.65970976683516,both,-0.05033682843992082,-0.2690363606717718,0.0,Price Decreased
6,Green Confetti,100,Glengarry Bonnet,1.0,11.693779122046925,11.693779122046925,1,11.662318604271972,11.662318604271972,both,-0.031460517774952734,-0.2690363606717908,0.0,Price Decreased
6,Green Confetti,101,Vintage Tyrolean,1.0,15.435788441101938,15.435788441101938,1,15.394260557639004,15.394260557639004,both,-0.041527883462933346,-0.26903636067176323,0.0,Price Decreased
6,Green Confetti,102,Respectless Rubber Glove,1.0,9.1211477151966,9.1211477151966,1,9.096608511332136,9.096608511332136,both,-0.024539203864463843,-0.26903636067179865,0.0,Price Decreased
6,Green Confetti,104,Otolaryngologist's Mirror,1.0,14.032534946456304,14.032534946456304,1,13.994782325126366,13.994782325126366,both,-0.03775262132993795,-0.26903636067175296,0.0,Price Decreased
6,Green Confetti,105,Brigade Helm,1.0,22.45205591433009,22.45205591433009,1,22.391651720202184,22.391651720202184,both,-0.06040419412790499,-0.2690363606717719,0.0,Price Decreased
6,Green Confetti,106,Bonk Helm,1.0,15.903539605983816,15.903539605983816,1,15.86075330180988,15.86075330180988,both,-0.04278630417393714,-0.26903636067179976,0.0,Price Decreased
6,Green Confetti,107,Ye Olde Baker Boy,1.0,10.29052562740129,10.29052562740129,1,10.262840371759337,10.262840371759337,both,-0.027685255641953788,-0.269036360671746,0.0,Price Decreased
6,Green Confetti,108,Backbiter's Billycock,1.0,10.758276792283167,10.758276792283167,1,10.729333115930212,10.729333115930212,both,-0.028943676352955805,-0.26903636067178427,0.0,Price Decreased
6,Green Confetti,109,Professional's Panama,1.0,12.1615302869288,12.1615302869288,1,12.12881134844285,12.12881134844285,both,-0.03271893848594942,-0.2690363606717791,0.0,Price Decreased
6,Green Confetti,110,Master's Yellow Belt,1.0,187.1004659527508,187.1004659527508,1,186.59709766835155,186.59709766835155,both,-0.5033682843992437,-0.2690363606717908,0.0,Price Decreased
6,Green Confetti,111,Baseball Bill's Sports Shine,1.0,46.77511648818769,46.77511648818769,1,46.64927441708789,46.64927441708789,both,-0.12584207109980383,-0.2690363606717756,0.0,Price Decreased
6,Green Confetti,117,Ritzy Rick's Hair Fixative,1.0,68.29167007275403,68.29167007275403,1,68.10794064894831,68.10794064894831,both,-0.18372942380571544,-0.26903636067177833,0.0,Price Decreased
6,Green Confetti,120,Scotsman's Stove Pipe,1.0,9.35502329763754,9.35502329763754,1,9.329854883417578,9.329854883417578,both,-0.025168414219962187,-0.26903636067179076,0.0,Price Decreased
6,Green Confetti,135,Towering Pillar of Hats,1.0,14.96803727622006,14.96803727622006,1,14.927767813468124,14.927767813468124,both,-0.04026946275193666,-0.26903636067177183,0.0,Price Decreased
6,Green Confetti,137,Noble Amassment of Hats,1.0,9.35502329763754,9.35502329763754,1,9.329854883417578,9.329854883417578,both,-0.025168414219962187,-0.26903636067179076,0.0,Price Decreased
6,Green Confetti,139,Modest Pile of Hat,1.0,13.56478378157443,13.56478378157443,1,13.528289580955487,13.528289580955487,both,-0.03649420061894304,-0.2690363606717751,0.0,Price Decreased
6,Green Confetti,145,Hound Dog,1.0,9.822774462519414,9.822774462519414,1,9.796347627588457,9.796347627588457,both,-0.0264268349309571,-0.2690363606717583,0.0,Price Decreased
6,Green Confetti,146,Hustler's Hallmark,1.0,19.177797760156952,19.177797760156952,1,19.126202511006035,19.126202511006035,both,-0.05159524915091751,-0.2690363606717649,0.0,Price Decreased
6,Green Confetti,147,Magistrate's Mullet,1.0,8.653396550314723,8.653396550314723,1,8.630115767161259,8.630115767161259,both,-0.023280783153463602,-0.2690363606717744,0.0,Price Decreased
6,Green Confetti,148,Hotrod,1.0,9.35502329763754,9.35502329763754,1,9.329854883417578,9.329854883417578,both,-0.025168414219962187,-0.26903636067179076,0.0,Price Decreased
6,Green Confetti,150,Troublemaker's Tossle Cap,1.0,26.194065233385107,26.194065233385107,1,26.123593673569214,26.123593673569214,both,-0.0704715598158927,-0.26903636067178544,0.0,Price Decreased
6,Green Confetti,151,Triboniophorus Tyrannus,1.0,8.887272132755662,8.887272132755662,1,8.863362139246698,8.863362139246698,both,-0.023909993508963723,-0.2690363606717868,0.0,Price Decreased
6,Green Confetti,152,Killer's Kabuto,1.0,15.435788441101938,15.435788441101938,1,15.394260557639004,15.394260557639004,both,-0.041527883462933346,-0.26903636067176323,0.0,Price Decreased
6,Green Confetti,158,Shooter's Sola Topi,1.0,6.782391890787215,6.782391890787215,1,6.764144790477744,6.764144790477744,both,-0.01824710030947152,-0.2690363606717751,0.0,Price Decreased
6,Green Confetti,174,Whoopee Cap,1.0,9.35502329763754,9.35502329763754,1,9.329854883417578,9.329854883417578,both,-0.025168414219962187,-0.26903636067179076,0.0,Price Decreased
6,Green Confetti,177,Ze Goggles,1.0,14.032534946456304,14.032534946456304,1,13.994782325126366,13.994782325126366,both,-0.03775262132993795,-0.26903636067175296,0.0,Price Decreased
6,Green Confetti,178,Safe'n'Sound,1.0,12.1615302869288,12.1615302869288,1,12.12881134844285,12.12881134844285,both,-0.03271893848594942,-0.2690363606717791,0.0,Price Decreased
